class_label,LHS,RHS
0,13258.1030015585,munnari.OZ.AU
0,3D64FCD2.20705.6447320,localhost
0,3D70306F.8090201,eecs.berkeley.edu
0,Pine.LNX.4.33.0209011908320.3235-100000,watcher.mithral.com
0,p04310109b98aa91a16c0,[198.248.208.11]
0,Pine.LNX.4.44.0208220810280.13989-100000,aztec.zanshin.com
0,3D65009B.4080707,perkel.com
0,p0431010eb98aafd3ab3b,[198.248.208.11]
0,0208220909120B.13454,gilmanhunt
0,47DAEAB9-B5F5-11D6-A91E-00039396ECF2,deersoft.com
0,20020822173052.D54CB47C67,phobos.labs.netnoteinc.com
0,p04310110b98ad11c7d13,[198.248.208.11]
0,20020822232458.L68187-100000,moon.campus.luth.se
0,3D6556DC.5070408,permafrost.net
0,5D5CC294-BA08-11D6-837F-000393A46DEA,alumni.caltech.edu
0,007001c24e0e$b4e9e010$0200a8c0,JMHALL
0,3D6BC527.28671.1437E0A,localhost
0,B397C4F18189C34B9BD6C5F82461FCBE1B48C1,usilms27.ca.com
0,3D6BC814.23250.14EE9A8,localhost
0,E146D042F119D211B16F00A0CC32B87F8D11BB,mrwhite.privacyright.com
0,Pine.LNX.4.33.0208271708580.10823-100000,watcher.mithral.com
0,3D6CA455.4010907,permafrost.net
0,3D6CAD7B.6010800,permafrost.net
0,200210081853.LAA09633,maltesecat
0,Pine.BSO.4.44.0208231139110.8637-100000,crank.slack.net
0,3DA4671F.3030501,endeavors.com
0,1034193484.20790.116.camel,avalon
0,3DA4DCC7.6060601,endeavors.com
0,1271ABB6-DC18-11D6-B3AB-0030657C53EA,ianbell.com
0,1030372078.11075.TMDA,deepeddy.vircio.com
0,1030372165.11396.TMDA,deepeddy.vircio.com
0,20020826180041.913C73F05,milou.dyndns.org
0,1030385858.10433.TMDA,deepeddy.vircio.com
0,200208261822.g7QIMk7P005756,turing-police.cc.vt.edu
0,1030387189.15657.TMDA,deepeddy.vircio.com
0,Pine.LNX.4.44.0208231610470.17440-100000,localhost.localdomain
0,20020826223448.0009A3F21,milou.dyndns.org
0,20020826223810.AB8A13F21,milou.dyndns.org
0,1030401904.6628.TMDA,deepeddy.vircio.com
0,200208270117.VAA02021,blackcomb.panasas.com
0,12683.1030438738,munnari.OZ.AU
0,200208280108.VAA30178,blackcomb.panasas.com
0,21691.1030507901,bhuta
0,17298.1030500260,munnari.OZ.AU
0,18366.1030517481,munnari.OZ.AU
0,19654.1030524655,munnari.OZ.AU
0,Pine.LNX.4.44.0208231600070.17440-100000,localhost.localdomain
0,21099.1030543590,munnari.OZ.AU
0,1030544555.28815.TMDA,deepeddy.vircio.com
0,22628.1030545866,munnari.OZ.AU
0,1030549201.11428.TMDA,deepeddy.vircio.com
0,1030550822.18045.TMDA,deepeddy.vircio.com
0,200208281732.NAA05316,blackcomb.panasas.com
0,1030562749.28110.TMDA,deepeddy.vircio.com
0,200208290540.BAA23712,blackcomb.panasas.com
0,1030629610.14240.TMDA,deepeddy.vircio.com
0,200208302358.TAA06163,blackcomb.panasas.com
0,Pine.BSO.4.44.0208231824140.16631-100000,crank.slack.net
0,200209011956.g81Ju6TE002619,orion.dwf.com
0,200209011414.g81EEBP05889,eva.local
0,200209021718.NAA12734,blackcomb.panasas.com
0,200209021718.NAA12734,blackcomb.panasas.com
0,200209021718.NAA12734,blackcomb.panasas.com
0,200209030201.WAA01468,blackcomb.panasas.com
0,200209052140.g85Ler718109,siva.sandcraft.com
0,200209052257.g85MvZm0002050,fsck.intern.waldner.priv.at
0,200209091905.g89J5tH02285,lin12.triumf.ca
0,20020909191229.EBB3DB1,whatexit.org
0,Pine.LNX.4.44.0208231631010.17440-100000,localhost.localdomain
0,200209091921.g89JLgt02406,lin12.triumf.ca
0,20020909193637.590BBB1,whatexit.org
0,Pine.GSO.4.30L.0209091538070.29646-100000,multics.mit.edu
0,200209092006.g89K6dd15026,shelob.ce.ttu.edu
0,200209092111.g89LBH703076,lin12.triumf.ca
0,200209092354.g89Ns8g04304,lin12.triumf.ca
0,Pine.GSO.4.30L.0209092153400.6550-100000,multics.mit.edu
0,3642.1031627218,dimebox
0,5305.1031637136,munnari.OZ.AU
0,200209100611.CAA13807,blackcomb.panasas.com
0,Pine.BSO.4.44.0208231942110.16631-100000,crank.slack.net
0,200209100724.g8A7O9jH004727,fsck.intern.waldner.priv.at
0,29945.1031646056,kanga.nu
0,20020910142926.C5DF2A7,whatexit.org
0,200209101443.g8AEhWS17947,localhost.localdomain
0,1528.1031675232,kanga.nu
0,20020910155647.0B7FF5D04,ptavv.es.net
