class_label,LHS,RHS
phishing,LCCOVYFMRBWQCHUDWYCOYUW,hotmail.com
phishing,20041127192251.E0F57187C61,mail2.domain.com
phishing,1101659380431.eBay.705443.53897.0,reply3.ebay.com
phishing,000301c4d5ae$9231cea0$4553594d,myselves
phishing,JDXSYRKPDISQIRUBXXMCHBC,goldenmail.ru
phishing,ACBUTFFLYDDACBPRIUTGLDJ,charter.net
phishing,000301c4d5f1$439947d0$4553594d,myselves
phishing,000401c4d602$82449d70$50206369,antiroot
phishing,20041129194419.CEFB6537D9B,spanky.domain.com
phishing,RQBNKPZLVGLOEQJAMJWGE,yahoo.com
phishing,200412011101.iB1B1QWc005692,mail.tps.edu.hk
phishing,20041201134923.A2817539CD5,spanky.domain.com
phishing,20041202155058.4995053836A,spanky.domain.com
phishing,ETRCAAGEWJLKXFZVFUOAJWHLM,yahoo.com
phishing,xiizabjneuLm6RWp,earthlight.com
phishing,RPKOEZFRDKHFDOJTYGRWBMMP,verizon.net
phishing,qripcprjWUghpY4,rogers.com
phishing,tlfesjdafnkCh54,ihug.com
phishing,20041204044304.B75AD538999,spanky.domain.com
phishing,200412050412.iB54CA915893,spam.thegeekempire.net
phishing,20041205053314.D6BDA539AFC,spanky.domain.com
phishing,20041202093755.E8B78183F8E,mail2.domain.com
phishing,000701c4d8cf$4a347c00$745a48dc,sunny
phishing,20041203092615.71A271A7CCD,mail2.domain.com
phishing,48357.ic47,global.net.uk
phishing,000601c4dbf9$ec22a690$0c01040a,imsserv
phishing,KGXUXPQLJAVNXPDFOPFRDFQHP,hotmail.com
phishing,MDYCNDRPEKNJRIIJDFRRXDAR,msn.com
phishing,20041209063618.7F65A85A5EB,mail1.domain.com
phishing,20041209071318.384AA85A5EC,mail1.domain.com
phishing,20041209103414.975BD85A54C,mail1.domain.com
phishing,000a01c4de02$67cc9c60$0c01040a,imsserv
phishing,20041210002842.7E22E1836A0,mail2.domain.com
phishing,000601c4e0a9$1f182f30$5cda56dc,sunny
phishing,000401c4e115$358ef2a0$0c01040a,imsserv
phishing,000301c4e148$c6970f20$c5de7951,AKHENJJ
phishing,ACSDKCBJRZQYVHOEETZTGKVR,charter.net
phishing,YYBTIESSYZXKLGFQVFPTNKCG,hotmail.com
phishing,QTOFJBXDOOPNIFLJTRUP,hotmail.com
phishing,20041216232858.2680085A5A5,mail1.domain.com
phishing,200412172236.iBHMa8R04711,spam.thegeekempire.net
phishing,20041218061652.79C6BC0A1,crimelabs.net
phishing,20041218061624.8011285A62C,mail1.domain.com
phishing,20041218122758.C950485A5FA,mail1.domain.com
phishing,20041218122819.84B6185A6EB,mail1.domain.com
phishing,20041218130737.2397885A753,mail1.domain.com
phishing,20041222213549.D82461836A9,mail2.domain.com
phishing,20041223155913.75FFE85A84C,mail1.domain.com
phishing,142430179679.7eb1e2150452,emailgarden.com
phishing,20041225092100.4303585AB8C,mail1.domain.com
phishing,586368044889.20369.rgzcenlth,vyhfn.netvisao.pt
